fold,MAE,RMSE,R2
1,534.4406149556319,1661.510379710375,0.6864291650510228
2,194.45223198037135,293.5338093139803,0.9819165246267691
3,277.72195883122646,430.25263491950733,0.9294233127884547
4,280.2962961271992,388.8503092409086,0.9721024808055894
5,327.63913900385467,920.8510568244801,0.8781039215092343
